instrument,base,rate,volume,value,date
TSLA,USD,609,2,1218,2021-06-14 12:25:50.475031
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.477031
TSLA,USD,609,2,1218,2021-06-14 12:25:50.480028
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.482028
TSLA,USD,609,2,1218,2021-06-14 12:25:50.485011
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.487010
TSLA,USD,609,2,1218,2021-06-14 12:25:50.490010
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.492026
TSLA,USD,609,2,1218,2021-06-14 12:25:50.495025
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.498007
TSLA,USD,609,2,1218,2021-06-14 12:25:50.500006
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.503004
TSLA,USD,609,2,1218,2021-06-14 12:25:50.505021
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.508020
TSLA,USD,609,2,1218,2021-06-14 12:25:50.510020
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.513019
TSLA,USD,609,2,1218,2021-06-14 12:25:50.515018
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.518027
TSLA,USD,609,2,1218,2021-06-14 12:25:50.520016
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.522016
TSLA,USD,609,2,1218,2021-06-14 12:25:50.524997
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.527014
TSLA,USD,609,2,1218,2021-06-14 12:25:50.529996
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.531994
TSLA,USD,609,2,1218,2021-06-14 12:25:50.535012
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.537011
TSLA,USD,609,2,1218,2021-06-14 12:25:50.540011
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.542010
TSLA,USD,609,2,1218,2021-06-14 12:25:50.545009
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.547009
TSLA,USD,609,2,1218,2021-06-14 12:25:50.550007
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.551988
TSLA,USD,609,2,1218,2021-06-14 12:25:50.555020
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.557005
TSLA,USD,609,2,1218,2021-06-14 12:25:50.559004
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.562004
TSLA,USD,609,2,1218,2021-06-14 12:25:50.564998
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.567002
TSLA,USD,609,2,1218,2021-06-14 12:25:50.570001
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.572001
TSLA,USD,609,2,1218,2021-06-14 12:25:50.574
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.576999
TSLA,USD,609,2,1218,2021-06-14 12:25:50.578998
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.581997
TSLA,USD,609,2,1218,2021-06-14 12:25:50.583997
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.587008
TSLA,USD,609,2,1218,2021-06-14 12:25:50.588995
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.590994
TSLA,USD,609,2,1218,2021-06-14 12:25:50.593993
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.596809
TSLA,USD,609,2,1218,2021-06-14 12:25:50.598828
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.601826
TSLA,USD,609,2,1218,2021-06-14 12:25:50.603826
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.606828
TSLA,USD,609,2,1218,2021-06-14 12:25:50.608824
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.611823
TSLA,USD,609,2,1218,2021-06-14 12:25:50.613804
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.615822
TSLA,USD,609,2,1218,2021-06-14 12:25:50.618821
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.620820
TSLA,USD,609,2,1218,2021-06-14 12:25:50.623819
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.625818
TSLA,USD,609,2,1218,2021-06-14 12:25:50.628799
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.630800
TSLA,USD,609,2,1218,2021-06-14 12:25:50.633816
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.635815
TSLA,USD,609,2,1218,2021-06-14 12:25:50.638815
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.640813
TSLA,USD,609,2,1218,2021-06-14 12:25:50.643813
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.645812
TSLA,USD,609,2,1218,2021-06-14 12:25:50.648803
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.650811
TSLA,USD,609,2,1218,2021-06-14 12:25:50.652791
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.655790
TSLA,USD,609,2,1218,2021-06-14 12:25:50.657808
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.660789
TSLA,USD,609,2,1218,2021-06-14 12:25:50.662788
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.665806
TSLA,USD,609,2,1218,2021-06-14 12:25:50.667805
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.670804
TSLA,USD,609,2,1218,2021-06-14 12:25:50.672785
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.675802
TSLA,USD,609,2,1218,2021-06-14 12:25:50.677802
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.680801
TSLA,USD,609,2,1218,2021-06-14 12:25:50.682800
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.685781
TSLA,USD,609,2,1218,2021-06-14 12:25:50.687799
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.690798
TSLA,USD,609,2,1218,2021-06-14 12:25:50.692797
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.695796
TSLA,USD,609,2,1218,2021-06-14 12:25:50.697795
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.700795
TSLA,USD,609,2,1218,2021-06-14 12:25:50.702794
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.705793
TSLA,USD,609,2,1218,2021-06-14 12:25:50.709774
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.711772
TSLA,USD,609,2,1218,2021-06-14 12:25:50.715772
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.718775
TSLA,USD,609,2,1218,2021-06-14 12:25:50.720788
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.723782
TSLA,USD,609,2,1218,2021-06-14 12:25:50.726786
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.729785
TSLA,USD,609,2,1218,2021-06-14 12:25:50.731785
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.734784
TSLA,USD,609,2,1218,2021-06-14 12:25:50.737764
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.739782
TSLA,USD,609,2,1218,2021-06-14 12:25:50.742781
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.744780
TSLA,USD,609,2,1218,2021-06-14 12:25:50.747779
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.750779
TSLA,USD,609,2,1218,2021-06-14 12:25:50.752759
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.755760
TSLA,USD,609,2,1218,2021-06-14 12:25:50.758776
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.760775
TSLA,USD,609,2,1218,2021-06-14 12:25:50.763774
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.765774
TSLA,USD,609,2,1218,2021-06-14 12:25:50.768773
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.771755
TSLA,USD,609,2,1218,2021-06-14 12:25:50.774754
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.776753
TSLA,USD,609,2,1218,2021-06-14 12:25:50.779751
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.782751
TSLA,USD,609,2,1218,2021-06-14 12:25:50.784767
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.788390
TSLA,USD,609,2,1218,2021-06-14 12:25:50.791389
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.794402
TSLA,USD,609,2,1218,2021-06-14 12:25:50.797401
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.799388
TSLA,USD,609,2,1218,2021-06-14 12:25:50.802389
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.806403
TSLA,USD,609,2,1218,2021-06-14 12:25:50.809402
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.812401
TSLA,USD,609,2,1218,2021-06-14 12:25:50.815388
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.818400
TSLA,USD,609,2,1218,2021-06-14 12:25:50.821394
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.824392
TSLA,USD,609,2,1218,2021-06-14 12:25:50.827379
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.830390
TSLA,USD,609,2,1218,2021-06-14 12:25:50.833391
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.836375
TSLA,USD,609,2,1218,2021-06-14 12:25:50.839374
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.842386
TSLA,USD,609,2,1218,2021-06-14 12:25:50.846387
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.848385
TSLA,USD,609,2,1218,2021-06-14 12:25:50.852372
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.855369
TSLA,USD,609,2,1218,2021-06-14 12:25:50.858382
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.861385
TSLA,USD,609,2,1218,2021-06-14 12:25:50.864366
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.867365
TSLA,USD,609,2,1218,2021-06-14 12:25:50.870364
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.873377
TSLA,USD,609,2,1218,2021-06-14 12:25:50.876378
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.879744
TSLA,USD,609,2,1218,2021-06-14 12:25:50.883742
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.886405
TSLA,USD,609,2,1218,2021-06-14 12:25:50.889418
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.891417
TSLA,USD,609,2,1218,2021-06-14 12:25:50.894415
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.897415
TSLA,USD,609,2,1218,2021-06-14 12:25:50.900419
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.903413
TSLA,USD,609,2,1218,2021-06-14 12:25:50.906411
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.909788
TSLA,USD,609,2,1218,2021-06-14 12:25:50.912804
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.915789
TSLA,USD,609,2,1218,2021-06-14 12:25:50.917799
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.921127
TSLA,USD,609,2,1218,2021-06-14 12:25:50.924144
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.926138
TSLA,USD,609,2,1218,2021-06-14 12:25:50.929137
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.931137
TSLA,USD,609,2,1218,2021-06-14 12:25:50.934135
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.937135
TSLA,USD,609,2,1218,2021-06-14 12:25:50.939135
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.942120
TSLA,USD,609,2,1218,2021-06-14 12:25:50.945132
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.948132
TSLA,USD,609,2,1218,2021-06-14 12:25:50.951137
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.953130
TSLA,USD,609,2,1218,2021-06-14 12:25:50.956129
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.958128
TSLA,USD,609,2,1218,2021-06-14 12:25:50.961127
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.964126
TSLA,USD,609,2,1218,2021-06-14 12:25:50.967113
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.970120
TSLA,USD,609,2,1218,2021-06-14 12:25:50.973123
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.976119
TSLA,USD,609,2,1218,2021-06-14 12:25:50.979118
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.982107
TSLA,USD,609,2,1218,2021-06-14 12:25:50.985115
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.988107
TSLA,USD,609,2,1218,2021-06-14 12:25:50.991113
AAPL,USD,993.232,4,3972.928,2021-06-14 12:25:50.994105
